iri,iri label,attribute,attribute label,entity,entity label
OBA:VT0006057,blood vessel endothelial cell quantity,PATO:0001555,has number of,CL:0000071,blood vessel endothelial cell
OBA:VT0006061,atrium symmetry,PATO:0000965,symmetry,UBERON:0002081,cardiac atrium
OBA:VT0006062,vena cava morphology trait,PATO:0000051,morphology,UBERON:0004087,vena cava
OBA:VT0006063,inferior vena cava morphology trait,PATO:0000051,morphology,UBERON:0001072,posterior vena cava
OBA:VT0006064,superior vena cava morphology trait,PATO:0000051,morphology,UBERON:0001585,anterior vena cava
OBA:VT0006065,heart orientation trait,PATO:0000140,position,UBERON:0000948,heart
OBA:VT0006068,horizontal cell morphology trait,PATO:0000051,morphology,CL:0000745,retina horizontal cell
OBA:VT0006069,retinal neuronal layer morphology trait,PATO:0000051,morphology,UBERON:0003902,retinal neural layer
OBA:VT0006078,nipple morphology trait,PATO:0000051,morphology,UBERON:0002030,nipple
OBA:VT0006083,blood vessel elastic tissue morphology trait,PATO:0000051,morphology,UBERON:0003614,blood vessel elastic tissue
OBA:VT0006089,saccule morphology trait,PATO:0000051,morphology,UBERON:0001854,saccule of membranous labyrinth
OBA:VT0006090,utricle morphology trait,PATO:0000051,morphology,UBERON:0001853,utricle of membranous labyrinth
OBA:VT0006091,olfactory epithelium morphology trait,PATO:0000051,morphology,UBERON:0001997,olfactory epithelium
OBA:VT0006092,olfactory neuron morphology trait,PATO:0000051,morphology,CL:0000207,olfactory receptor cell
OBA:VT0006099,granule layer thickness,PATO:0000915,thickness,UBERON:0005391,cortical layer II
OBA:VT0006100,tegmentum morphology trait,PATO:0000051,morphology,UBERON:0001943,midbrain tegmentum
OBA:VT0006102,tegmentum size trait,PATO:0000117,size,UBERON:0001943,midbrain tegmentum
OBA:VT0006103,midbrain roof plate morphology trait,PATO:0000051,morphology,UBERON:0003299,roof plate of midbrain
OBA:VT0006104,tectum morphology trait,PATO:0000051,morphology,UBERON:0002314,midbrain tectum
OBA:VT0006105,tectum size trait,PATO:0000117,size,UBERON:0002314,midbrain tectum
OBA:VT0006107,atrioventricular canal morphology trait,PATO:0000051,morphology,UBERON:0002087,atrioventricular canal
OBA:VT0006113,heart septum morphology trait,PATO:0000051,morphology,UBERON:0002099,cardiac septum
OBA:VT0006127,great vessel orientation trait,PATO:0000133,orientation,UBERON:0013768,great vessel of heart
OBA:VT0006151,cornea curvature trait,PATO:0001591,curvature,UBERON:0000964,cornea
OBA:VT0006162,eyelid thickness,PATO:0000915,thickness,UBERON:0001711,eyelid
OBA:VT0006168,epicanthal fold morphology trait,PATO:0000051,morphology,UBERON:0013766,epicanthal fold
OBA:VT0006173,myeloid dendritic cell morphology trait,PATO:0000051,morphology,CL:0000782,myeloid dendritic cell
OBA:VT0006175,choroid size trait,PATO:0000117,size,UBERON:0001776,optic choroid
OBA:VT0006192,conjunctival blood vessel morphology trait,PATO:0000051,morphology,UBERON:0010367,conjunctival vein
OBA:VT0006195,eyeball orientation trait,PATO:0000133,orientation,UBERON:0010230,eyeball of camera-type eye
OBA:VT0006210,orbit size trait,PATO:0000117,size,UBERON:0001697,orbit of skull
OBA:VT0006212,orbit width,PATO:0000921,width,UBERON:0001697,orbit of skull
OBA:VT0006213,orbit depth,PATO:0001595,depth,UBERON:0001697,orbit of skull
OBA:VT0006214,orbit symmetry,PATO:0000965,symmetry,UBERON:0001697,orbit of skull
OBA:VT0006215,optic disc morphology trait,PATO:0000051,morphology,UBERON:0001783,optic disc
OBA:VT0006216,optic disc size trait,PATO:0000117,size,UBERON:0001783,optic disc
OBA:VT0006228,iris size trait,PATO:0000117,size,UBERON:0001769,iris
OBA:VT0006235,pupil quantity,PATO:0001555,has number of,UBERON:0001771,pupil
OBA:VT0006237,choroid blood vessel morphology trait,PATO:0000051,morphology,UBERON:0002443,choroidal blood vessel
OBA:VT0006241,pupil orientation trait,PATO:0000140,position,UBERON:0001771,pupil
OBA:VT0006245,lens orientation trait,PATO:0000140,position,UBERON:0000965,lens of camera-type eye
OBA:VT0006250,line of Schwalbe morphology trait,PATO:0000051,morphology,UBERON:0011918,line of Schwalbe
OBA:VT0006256,gustatory papillae morphology trait,PATO:0000051,morphology,UBERON:0014389,gustatory papilla of tongue
OBA:VT0006257,fungiform papillae morphology trait,PATO:0000051,morphology,UBERON:0002448,fungiform papilla
OBA:VT0006258,circumvallate papillae morphology trait,PATO:0000051,morphology,UBERON:0000396,vallate papilla
OBA:VT0006259,foliate papillae morphology trait,PATO:0000051,morphology,UBERON:0002468,foliate papilla
OBA:VT0006276,autonomic nervous system physiology trait,PATO:0001509,functionality,UBERON:0002410,autonomic nervous system
OBA:VT0006277,parasympathetic nervous system physiology trait,PATO:0001509,functionality,UBERON:0000011,parasympathetic nervous system
OBA:VT0006282,posterior horn morphology trait,PATO:0000051,morphology,UBERON:0005373,spinal cord dorsal column
OBA:VT0006385,memory T cell morphology trait,PATO:0000051,morphology,CL:0000813,memory T cell
OBA:VT0006387,T cell quantity,PATO:0001555,has number of,CL:0000084,T cell
OBA:VT0007000,heart apex orientation trait,PATO:0000133,orientation,UBERON:0002098,apex of heart
OBA:VT0007001,endocardial cushion morphology trait,PATO:0000051,morphology,UBERON:0002062,endocardial cushion
OBA:VT0007002,endocardial cushion size trait,PATO:0000117,size,UBERON:0002062,endocardial cushion
OBA:VT0007003,endocardial cushion thickness,PATO:0000915,thickness,UBERON:0002062,endocardial cushion
OBA:VT0007010,cardiomyocyte quantity,PATO:0001555,has number of,CL:0000746,cardiac muscle cell
OBA:VT0007026,left atrium mass,PATO:0000128,weight,UBERON:0002079,left cardiac atrium
OBA:VT0007027,right atrium mass,PATO:0000128,weight,UBERON:0002078,right cardiac atrium
OBA:VT0007028,heart mass,PATO:0000128,weight,UBERON:0000948,heart
OBA:VT0007030,left ventricle capacity,PATO:0000918,volume,UBERON:0002084,heart left ventricle
OBA:VT0007031,left ventricle mass,PATO:0000128,weight,UBERON:0002084,heart left ventricle
OBA:VT0007032,right ventricle capacity,PATO:0000918,volume,UBERON:0002080,heart right ventricle
OBA:VT0007033,right ventricle mass,PATO:0000128,weight,UBERON:0002080,heart right ventricle
OBA:VT0007036,pericardium orientation trait,PATO:0000133,orientation,UBERON:0002407,pericardium
OBA:VT0007038,endocardial cushion orientation trait,PATO:0000133,orientation,UBERON:0002062,endocardial cushion
OBA:VT0007041,heart tube orientation trait,PATO:0000133,orientation,UBERON:0004141,heart tube
OBA:VT0007081,atrium septum morphology trait,PATO:0000051,morphology,UBERON:0002085,interatrial septum
OBA:VT0007082,ventricle septum morphology trait,PATO:0000051,morphology,UBERON:0002094,interventricular septum
OBA:VT0007090,aorta size trait,PATO:0000117,size,UBERON:0000947,aorta
OBA:VT0007091,aorta root width,PATO:0001334,diameter,UBERON:0010172,bulb of aorta
OBA:VT0008037,T cell morphology trait,PATO:0000051,morphology,CL:0000084,T cell
OBA:VT0008043,NK cell quantity,PATO:0001555,has number of,CL:0000623,natural killer cell
OBA:VT0008048,memory T cell quantity,PATO:0001555,has number of,CL:0000813,memory T cell
OBA:VT0008051,memory T cell physiology trait,PATO:0001509,functionality,CL:0000813,memory T cell
OBA:VT0008085,T-helper 1 cell quantity,PATO:0001555,has number of,CL:0000545,T-helper 1 cell
OBA:VT0008089,T-helper 2 cell quantity,PATO:0001555,has number of,CL:0000546,T-helper 2 cell
OBA:VT0008093,memory B cell quantity,PATO:0001555,has number of,CL:0000787,memory B cell
OBA:VT0008096,plasma cell quantity,PATO:0001555,has number of,CL:0000786,plasma cell
OBA:VT0008114,Kupffer cell morphology trait,PATO:0000051,morphology,CL:0000091,Kupffer cell
OBA:VT0008115,dendritic cell development trait,PATO:0002045,dendritic,GO:0048469,cell maturation
OBA:VT0008117,Langerhans cell morphology trait,PATO:0000051,morphology,CL:0000453,Langerhans cell
OBA:VT0008119,Langerhans cell quantity,PATO:0001555,has number of,CL:0000453,Langerhans cell
OBA:VT0008120,myeloid dendritic cell quantity,PATO:0001555,has number of,CL:0000782,myeloid dendritic cell
OBA:VT0008123,plasmacytoid dendritic cell quantity,PATO:0001555,has number of,CL:0000784,plasmacytoid dendritic cell
OBA:VT0008125,dendritic cell quantity,PATO:0001555,has number of,CL:0000451,dendritic cell
OBA:VT0008131,Peyer's patch quantity,PATO:0001555,has number of,UBERON:0001211,Peyer's patch
OBA:VT0008134,Peyer's patch size trait,PATO:0000117,size,UBERON:0001211,Peyer's patch
OBA:VT0008164,B-1a B cell morphology trait,PATO:0000051,morphology,CL:0000820,B-1a B cell
OBA:VT0008165,B-1b B cell morphology trait,PATO:0000051,morphology,CL:0000821,B-1b B cell
OBA:VT0008166,B-2 B cell morphology trait,PATO:0000051,morphology,CL:0000822,B-2 B cell
OBA:VT0008167,B-1a B cell quantity,PATO:0001555,has number of,CL:0000820,B-1a B cell
OBA:VT0008169,B-1b B cell quantity,PATO:0001555,has number of,CL:0000821,B-1b B cell
OBA:VT0008171,mature B cell morphology trait,PATO:0000051,morphology,CL:0000785,mature B cell
OBA:VT0008172,follicular B cell morphology trait,PATO:0000051,morphology,CL:0000843,follicular B cell
OBA:VT0008174,follicular B cell quantity,PATO:0001555,has number of,CL:0000843,follicular B cell
OBA:VT0008176,germinal center B cell morphology trait,PATO:0000051,morphology,CL:0000844,germinal center B cell
OBA:VT0008178,germinal center B cell quantity,PATO:0001555,has number of,CL:0000844,germinal center B cell
OBA:VT0008180,marginal zone B cell morphology trait,PATO:0000051,morphology,CL:0000845,marginal zone B cell
OBA:VT0008182,marginal zone B cell quantity,PATO:0001555,has number of,CL:0000845,marginal zone B cell
OBA:VT0008184,naive B cell morphology trait,PATO:0000051,morphology,CL:0000788,naive B cell
OBA:VT0008185,naive B cell quantity,PATO:0001555,has number of,CL:0000788,naive B cell
OBA:VT0008188,transitional stage B cell morphology trait,PATO:0000051,morphology,CL:0000818,transitional stage B cell
OBA:VT0008190,transitional stage B cell quantity,PATO:0001555,has number of,CL:0000818,transitional stage B cell
OBA:VT0008191,follicular B cell physiology trait,PATO:0001509,functionality,CL:0000843,follicular B cell
OBA:VT0008192,germinal center B cell physiology trait,PATO:0001509,functionality,CL:0000844,germinal center B cell
OBA:VT0008193,marginal zone B cell physiology trait,PATO:0001509,functionality,CL:0000845,marginal zone B cell
OBA:VT0008194,memory B cell physiology trait,PATO:0001509,functionality,CL:0000787,memory B cell
OBA:VT0008196,follicular dendritic cell morphology trait,PATO:0000051,morphology,CL:0000442,follicular dendritic cell
OBA:VT0008197,follicular dendritic cell physiology trait,PATO:0001509,functionality,CL:0000442,follicular dendritic cell
OBA:VT0008200,follicular dendritic cell quantity,PATO:0001555,has number of,CL:0000442,follicular dendritic cell
OBA:VT0008207,B-2 B cell quantity,PATO:0001555,has number of,CL:0000822,B-2 B cell
OBA:VT0008208,pro-B cell quantity,PATO:0001555,has number of,CL:0000826,pro-B cell
OBA:VT0008211,mature B cell quantity,PATO:0001997,decreased amount,CL:0000785,mature B cell
OBA:VT0008215,immature B cell quantity,PATO:0001555,has number of,CL:0000816,immature B cell
OBA:VT0008240,spleen marginal zone macrophage morphology trait,PATO:0000051,morphology,CL:0000872,splenic marginal zone macrophage
OBA:VT0008242,perivascular macrophage morphology trait,PATO:0000051,morphology,CL:0000881,perivascular macrophage
OBA:VT0008244,peritoneal macrophage morphology trait,PATO:0000051,morphology,CL:0000581,peritoneal macrophage
OBA:VT0008245,alveolar macrophage morphology trait,PATO:0000051,morphology,CL:0000583,alveolar macrophage
OBA:VT0008246,leukocyte morphology trait,PATO:0000051,morphology,CL:0000738,leukocyte
OBA:VT0008248,mononuclear phagocyte morphology trait,PATO:0000051,morphology,CL:0000113,mononuclear phagocyte
OBA:VT0008249,common lymphoid progenitor morphology trait,PATO:0000051,morphology,CL:0000051,common lymphoid progenitor
OBA:VT0008251,phagocyte morphology trait,PATO:0000051,morphology,CL:0000234,phagocyte
OBA:VT0008252,multinucleated phagocyte morphology trait,PATO:0000051,morphology,CL:0000783,multinucleated phagocyte
OBA:VT0008343,gamma-delta T cell morphology trait,PATO:0000051,morphology,CL:0000798,gamma-delta T cell
OBA:VT0008344,mature gamma-delta T cell morphology trait,PATO:0000051,morphology,CL:0000800,mature gamma-delta T cell
OBA:VT0008345,gamma-delta T cell quantity,PATO:0001555,has number of,CL:0000798,gamma-delta T cell
OBA:VT0008349,gamma-delta intraepithelial T cell morphology trait,PATO:0000051,morphology,CL:0000801,gamma-delta intraepithelial T cell
OBA:VT0008351,gamma-delta intraepithelial T cell quantity,PATO:0001555,has number of,CL:0000801,gamma-delta intraepithelial T cell
OBA:VT0008354,mature gamma-delta T cell quantity,PATO:0001555,has number of,CL:0000800,mature gamma-delta T cell
OBA:VT0008357,"CD4-positive, gamma-delta intraepithelial T cell morphology trait",PATO:0000051,morphology,CL:0000803,CD4-negative CD8-negative gamma-delta intraepithelial T cell
OBA:VT0008361,"CD8-positive, gamma-delta intraepithelial T cell morphology trait",PATO:0000051,morphology,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell"
OBA:VT0008397,"CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology trait",PATO:0000051,morphology,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
OBA:VT0008398,"CD8-positive, alpha-beta regulatory T cell morphology trait",PATO:0000051,morphology,CL:0000795,"CD8-positive, alpha-beta regulatory T cell"
OBA:VT0008399,alpha-beta intraepithelial T cell morphology trait,PATO:0000051,morphology,CL:0000797,alpha-beta intraepithelial T cell
OBA:VT0008400,"CD4-positive, alpha-beta intraepithelial T cell morphology trait",PATO:0000051,morphology,CL:0000793,"CD4-positive, alpha-beta intraepithelial T cell"
OBA:VT0008401,"CD8-positive, alpha-beta intraepithelial T cell morphology trait",PATO:0000051,morphology,CL:0000796,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"
OBA:VT0008463,peripheral lymph node morphology trait,PATO:0000051,morphology,UBERON:0003968,peripheral lymph node
OBA:VT0008466,mesenteric lymph node size trait,PATO:0000117,size,UBERON:0002509,mesenteric lymph node
OBA:VT0008471,spleen primary B follicle morphology trait,PATO:0000051,morphology,UBERON:0004041,spleen primary B follicle
OBA:VT0008472,spleen secondary B follicle morphology trait,PATO:0000051,morphology,UBERON:0004042,spleen secondary B follicle
OBA:VT0008473,spleen follicular dendritic cell network morphology trait,PATO:0000051,morphology,UBERON:0010756,spleen follicular dendritic cell network
OBA:VT0008482,spleen germinal center quantity,PATO:0000070,amount,UBERON:0005196,spleen germinal center
OBA:VT0008484,spleen germinal center size trait,PATO:0000117,size,UBERON:0005196,spleen germinal center
OBA:VT0008522,lymph node germinal center morphology trait,PATO:0000051,morphology,UBERON:0009039,lymph node germinal center
OBA:VT0008542,cervical lymph node size trait,PATO:0000117,size,UBERON:0002429,cervical lymph node
OBA:VT0008737,spleen physiology trait,PATO:0001509,functionality,UBERON:0002106,spleen
OBA:VT0008746,peripheral B cell anergy trait,PATO:0002107,peripheral,GO:0002515,B cell anergy
OBA:VT0008749,peripheral T cell anergy trait,PATO:0002107,peripheral,GO:0002870,T cell anergy
OBA:VT0008752,tumor necrosis factor amount,PATO:0000070,amount,GO:0005164,tumor necrosis factor receptor binding
OBA:VT0008769,plasmacytoid dendritic cell physiology trait,PATO:0001509,functionality,CL:0000784,plasmacytoid dendritic cell
OBA:VT0008894,intraepithelial T cell morphology trait,PATO:0000051,morphology,CL:0002496,intraepithelial lymphocyte
OBA:VT0008895,intraepithelial T cell quantity,PATO:0000070,amount,CL:0000793,"CD4-positive, alpha-beta intraepithelial T cell"
OBA:VT0009539,Hassall's corpuscle morphology trait,PATO:0000051,morphology,UBERON:0003987,Hassall's corpuscle
OBA:VT0009543,thymus corticomedullary boundary morphology trait,PATO:0000051,morphology,UBERON:0003988,thymus corticomedullary boundary
OBA:VT0009544,thymus epithelium morphology trait,PATO:0000051,morphology,UBERON:0003846,thymus epithelium
OBA:VT0009623,inguinal lymph node size trait,PATO:0000117,size,UBERON:0001542,inguinal lymph node
OBA:VT0009625,abdominal lymph node morphology trait,PATO:0000051,morphology,UBERON:0002507,abdominal lymph node
OBA:VT0009626,celiac lymph node morphology trait,PATO:0000051,morphology,UBERON:0002508,celiac lymph node
OBA:VT0009627,submandibular lymph node morphology trait,PATO:0000051,morphology,UBERON:0002520,submandibular lymph node
OBA:VT0009629,brachial lymph node size trait,PATO:0000117,size,UBERON:0002525,brachial lymph node
OBA:VT0009631,axillary lymph node size trait,PATO:0000117,size,UBERON:0001097,axillary lymph node
OBA:VT0009635,popliteal lymph node size trait,PATO:0000117,size,UBERON:0001543,popliteal lymph node
OBA:VT0009919,transitional stage T1 B cell morphology trait,PATO:0000051,morphology,CL:0000958,T1 B cell
OBA:VT0009920,transitional stage T2 B cell morphology trait,PATO:0000051,morphology,CL:0000959,T2 B cell
OBA:VT0009921,transitional stage T3 B cell morphology trait,PATO:0000051,morphology,CL:0000960,T3 B cell
OBA:VT0009923,transitional stage T1 B cell quantity,PATO:0001555,has number of,CL:0000958,T1 B cell
OBA:VT0009926,transitional stage T2 B cell quantity,PATO:0001555,has number of,CL:0000959,T2 B cell
OBA:VT0010002,mammary gland size trait,PATO:0000117,size,UBERON:0001911,mammary gland
OBA:VT0010003,bone morphology trait,PATO:0000051,morphology,UBERON:0001474,bone element
OBA:VT0010007,skin adnexa morphology trait,PATO:0000051,morphology,UBERON:0000021,cutaneous appendage
OBA:VT0010009,femur mass,PATO:0000125,mass,UBERON:0000981,femur
OBA:VT0010010,femur strength trait,PATO:0001230,strength,UBERON:0000981,femur
OBA:VT0010012,humerus strength trait,PATO:0001230,strength,UBERON:0000976,humerus
OBA:VT0010013,humerus mass,PATO:0000125,mass,UBERON:0000976,humerus
OBA:VT0010014,femur circumference,PATO:0001648,circumference,UBERON:0000981,femur
OBA:VT0010015,tibia mass,PATO:0000125,mass,UBERON:0000979,tibia
OBA:VT0010018,mammary gland symmetry,PATO:0000965,symmetry,UBERON:0001911,mammary gland
OBA:VT0010019,epididymis mass,PATO:0000125,mass,UBERON:0001301,epididymis
OBA:VT0010022,metacarpus length,PATO:0000122,length,UBERON:0004453,metacarpus region
OBA:VT0010023,forelimb length,PATO:0000122,length,UBERON:0002102,forelimb
OBA:VT0010024,hindlimb length,PATO:0000122,length,UBERON:0002103,hindlimb
OBA:VT0010030,udder height,PATO:0000119,height,UBERON:0013216,udder
OBA:VT0010042,sperm morphology trait,PATO:0000051,morphology,CL:0000019,sperm
OBA:VT0010043,ovarian follicle physiology trait,PATO:0001509,functionality,UBERON:0001305,ovarian follicle
OBA:VT0010046,fatty acid amount,PATO:0000070,amount,CHEBI:35366,fatty acid
OBA:VT0010047,tendon physiology trait,PATO:0001509,functionality,UBERON:0000043,tendon
OBA:VT0010061,brown adipocyte morphology trait,PATO:0000051,morphology,CL:0000449,brown fat cell
OBA:VT0010064,connective tissue physiology trait,PATO:0001509,functionality,UBERON:0002384,connective tissue
OBA:VT0010066,Henle's loop morphology trait,PATO:0000051,morphology,UBERON:0001288,loop of Henle
OBA:VT0010067,convoluted tubule morphology trait,PATO:0000051,morphology,UBERON:0006534,renal convoluted tubule
OBA:VT0010068,kidney collecting duct morphology trait,PATO:0000051,morphology,UBERON:0001232,collecting duct of renal tubule
OBA:VT0010069,proximal convoluted tubule morphology trait,PATO:0000051,morphology,UBERON:0001287,proximal convoluted tubule
OBA:VT0010070,distal convoluted tubule morphology trait,PATO:0000051,morphology,UBERON:0001292,distal convoluted tubule
OBA:VT0010071,lymphatic system morphology trait,PATO:0000051,morphology,UBERON:0006558,lymphatic part of lymphoid system
OBA:VT0010073,esophagus length,PATO:0000122,length,UBERON:0001043,esophagus
OBA:VT0010075,occipitomastoid suture morphology trait,PATO:0000051,morphology,UBERON:0010159,occipitomastoid suture
OBA:VT0010076,parietomastoid suture morphology trait,PATO:0000051,morphology,UBERON:0010155,parietomastoid suture
OBA:VT0010077,sphenofrontal suture morphology trait,PATO:0000051,morphology,UBERON:0010156,sphenofrontal suture
OBA:VT0010078,sphenoparietal suture morphology trait,PATO:0000051,morphology,UBERON:0010157,sphenoparietal suture
OBA:VT0010079,sphenozygomatic suture morphology trait,PATO:0000051,morphology,UBERON:0010158,sphenozygomatic suture
OBA:VT0010080,skeletal muscle physiology trait,PATO:0001509,functionality,UBERON:0001134,skeletal muscle tissue
OBA:VT0010081,maxillary sinus morphology trait,PATO:0000051,morphology,UBERON:0001764,maxillary sinus
OBA:VT0010083,frontal process of maxilla morphology trait,PATO:0000051,morphology,UBERON:0013767,frontal process of maxilla
OBA:VT0010084,long lived plasma cell morphology trait,PATO:0000051,morphology,CL:0000974,long lived plasma cell
OBA:VT0010085,short lived plasma cell morphology trait,PATO:0000051,morphology,CL:0000975,short lived plasma cell
OBA:VT0010086,vertebral column morphology trait,PATO:0000051,morphology,UBERON:0001130,vertebral column
OBA:VT0010087,ischium morphology trait,PATO:0000051,morphology,UBERON:0001274,ischium
OBA:VT0010088,pubis morphology trait,PATO:0000051,morphology,UBERON:0001275,pubis
OBA:VT0010089,shoulder girdle morphology trait,PATO:0000051,morphology,UBERON:0001421,pectoral girdle region
OBA:VT0010090,pelvic girdle morphology trait,PATO:0000051,morphology,UBERON:0001271,pelvic girdle region
OBA:VT0010091,appendicular skeleton morphology trait,PATO:0000051,morphology,UBERON:0002091,appendicular skeleton
OBA:VT0010092,thoracic cage morphology trait,PATO:0000051,morphology,UBERON:0003252,thoracic rib cage
OBA:VT0010093,costal cartilage morphology trait,PATO:0000051,morphology,UBERON:0002236,costal cartilage
OBA:VT0010094,osteoblast morphology trait,PATO:0000051,morphology,CL:0000062,osteoblast
OBA:VT0010095,osteoclast morphology trait,PATO:0000051,morphology,CL:0000092,osteoclast
OBA:VT0010096,osteoblast quantity,PATO:0001555,has number of,CL:0000062,osteoblast
OBA:VT0010097,osteocyte morphology trait,PATO:0000051,morphology,CL:0000137,osteocyte
OBA:VT0010098,osteoclast quantity,PATO:0001555,has number of,CL:0000092,osteoclast
OBA:VT0010099,enteric cholinergic nerve fiber organization trait,PATO:0001509,functionality,CL:0000025,egg cell
OBA:VT0010104,forelimb long bone morphology trait,PATO:0000051,morphology,UBERON:0003607,forelimb long bone
OBA:VT0010105,hindlimb long bone morphology trait,PATO:0000051,morphology,UBERON:0003608,hindlimb long bone
OBA:VT0010106,limb muscle morphology trait,PATO:0000051,morphology,UBERON:0003661,limb muscle
OBA:VT0010107,hindlimb muscle morphology trait,PATO:0000051,morphology,UBERON:0003663,hindlimb muscle
OBA:VT0010108,hippocampus pyramidal cell morphology trait,PATO:0000051,morphology,CL:1001571,hippocampal pyramidal neuron
OBA:VT0010110,heart muscle physiology trait,PATO:0001509,functionality,UBERON:0002349,myocardium
OBA:VT0010111,smooth muscle physiology trait,PATO:0001509,functionality,UBERON:0001135,smooth muscle tissue
OBA:VT0010112,intercalated disc morphology trait,PATO:0000051,morphology,GO:0014704,intercalated disc
OBA:VT0010113,masticatory muscle size trait,PATO:0000117,size,UBERON:0003681,masticatory muscle
OBA:VT0010114,intercostal muscle size trait,PATO:0000117,size,UBERON:0001111,intercostal muscle
OBA:VT0010115,diaphragm size trait,PATO:0000117,size,UBERON:0001103,diaphragm
OBA:VT0010116,pectoralis muscle size trait,PATO:0000117,size,UBERON:0001495,pectoral muscle
OBA:VT0010117,longissimus dorsi size trait,PATO:0000117,size,UBERON:0001401,longissimus thoracis muscle
OBA:VT0010120,protein amount,PATO:0000070,amount,PR:000000001,protein
OBA:VT0010122,somite morphology trait,PATO:0000051,morphology,UBERON:0002329,somite
OBA:VT0010125,celiac lymph node size trait,PATO:0000117,size,UBERON:0002508,celiac lymph node
OBA:VT0010127,bursa of Fabricius size trait,PATO:0000117,size,UBERON:0003903,bursa of Fabricius
OBA:VT0010129,esophagus mass,PATO:0000125,mass,UBERON:0001043,esophagus
OBA:VT0010130,DN1 thymic pro-T cell quantity,PATO:0001555,has number of,CL:0000894,DN1 thymic pro-T cell
OBA:VT0010131,cecum mass,PATO:0000125,mass,UBERON:0001153,caecum
OBA:VT0010132,DN2 thymocyte quantity,PATO:0001555,has number of,CL:0000806,DN2 thymocyte
OBA:VT0010133,gizzard capacity,PATO:0000918,volume,UBERON:0005052,gizzard
OBA:VT0010134,DN3 thymocyte quantity,PATO:0001555,has number of,CL:0000807,DN3 thymocyte
OBA:VT0010136,DN4 thymocyte quantity,PATO:0001555,has number of,CL:0000808,DN4 thymocyte
OBA:VT0010140,small intestine mass,PATO:0000125,mass,UBERON:0002108,small intestine
OBA:VT0010144,pancreas mass,PATO:0000125,mass,UBERON:0001264,pancreas
OBA:VT0010145,rectum mass,PATO:0000125,mass,UBERON:0001052,rectum
OBA:VT0010162,interleukin-10 physiology trait,PATO:0001509,functionality,PR:000001471,interleukin-10
OBA:VT0010183,platelet morphology trait,PATO:0000051,morphology,CL:0000762,nucleated thrombocyte
OBA:VT0010192,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell morphology trait",PATO:0000051,morphology,CL:0000935,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell"
OBA:VT0010193,colon length,PATO:0000122,length,UBERON:0001155,colon
OBA:VT0010194,colon mass,PATO:0000125,mass,UBERON:0001155,colon
OBA:VT0010195,intestine length,PATO:0000122,length,UBERON:0000160,intestine
OBA:VT0010196,intestine mass,PATO:0000125,mass,UBERON:0000160,intestine
OBA:VT0010197,duodenum length,PATO:0000122,length,UBERON:0002114,duodenum
OBA:VT0010198,duodenum mass,PATO:0000125,mass,UBERON:0002114,duodenum
OBA:VT0010199,stomach capacity,PATO:0000918,volume,UBERON:0000945,stomach
OBA:VT0010200,stomach mass,PATO:0000125,mass,UBERON:0000945,stomach
OBA:VT0010201,stomach muscle thickness,PATO:0000915,thickness,UBERON:0004222,stomach smooth muscle
OBA:VT0010202,stomach epithelium thickness,PATO:0000915,thickness,UBERON:0001276,epithelium of stomach
OBA:VT0010203,proventriculus morphology trait,PATO:0000051,morphology,UBERON:0007357,proventriculus
OBA:VT0010204,proventriculus capacity,PATO:0000918,volume,UBERON:0007357,proventriculus
OBA:VT0010205,proventriculus mass,PATO:0000125,mass,UBERON:0007357,proventriculus
OBA:VT0010208,duodenum mucosa thickness,PATO:0000915,thickness,UBERON:0000320,duodenal mucosa
OBA:VT0010212,jejunum length,PATO:0000122,length,UBERON:0002115,jejunum
OBA:VT0010213,jejunum mass,PATO:0000125,mass,UBERON:0002115,jejunum
OBA:VT0010215,jejunum mucosa thickness,PATO:0000915,thickness,UBERON:0000399,jejunal mucosa
OBA:VT0010219,large intestine length,PATO:0000122,length,UBERON:0000059,large intestine
OBA:VT0010220,large intestine mass,PATO:0000125,mass,UBERON:0000059,large intestine
OBA:VT0010221,duodenum mucosa morphology trait,PATO:0000051,morphology,UBERON:0000320,duodenal mucosa
OBA:VT0010222,jejunum mucosa morphology trait,PATO:0000051,morphology,UBERON:0000399,jejunal mucosa
OBA:VT0010223,ileum mucosa morphology trait,PATO:0000051,morphology,UBERON:0000331,ileal mucosa
OBA:VT0010224,ileum length,PATO:0000122,length,UBERON:0002116,ileum
OBA:VT0010225,ileum mass,PATO:0000125,mass,UBERON:0002116,ileum
OBA:VT0010227,ileum mucosa thickness,PATO:0000915,thickness,UBERON:0000331,ileal mucosa
OBA:VT0010232,colon mucosa thickness,PATO:0000915,thickness,UBERON:0000317,colonic mucosa
OBA:VT0010234,cecum mucosa thickness,PATO:0000915,thickness,UBERON:0000314,cecum mucosa
OBA:VT0010235,forestomach morphology trait,PATO:0000051,morphology,UBERON:0007359,ruminant forestomach
OBA:VT0010236,forestomach capacity,PATO:0000918,volume,UBERON:0007359,ruminant forestomach
OBA:VT0010237,forestomach mass,PATO:0000125,mass,UBERON:0007359,ruminant forestomach
