subject_id	subject_label	mapping_justification	author_id	comment
32283-4	Valproate Free/Valproate.total in Serum or Plasma	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
69380-4	t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2 fusion transcript/control transcript (International Scale) [# Ratio] in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
55147-3	t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
564-5	Colony count [#] in Specimen by Visual count	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
62358-7	ISCN band level [#] Qualitative	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33219-7	Epithelial cells.squamous [#/area] in Urine sediment by Automated count	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33218-9	Bacteria [#/area] in Urine sediment by Automated count	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
11277-1	Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
5769-5	Bacteria [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33223-9	Hyaline casts [#/area] in Urine sediment by Automated count	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
53294-5	Epithelial cells.non-squamous [#/area] in Urine sediment by Automated count	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
41284-1	Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
5796-8	Hyaline casts [#/area] in Urine sediment by Microscopy low power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
9842-6	Casts [#/area] in Urine sediment by Microscopy low power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
38459-4	Crystals [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33905-1	Trichomonas sp [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
46420-6	Leukocyte clumps [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
5822-2	Yeast [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
26052-1	Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
50233-6	Leukocyte clumps [#/area] in Urine sediment by Automated count	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
5793-5	Granular casts [#/area] in Urine sediment by Microscopy low power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33341-9	Granular casts [#/area] in Urine by Computer assisted method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
25148-8	Calcium oxalate crystals [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
41215-5	Yeast [#/area] in Urine sediment by Microscopy low power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33221-3	Epithelial cells.renal [#/area] in Urine by Computer assisted method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
5820-6	WBC casts [#/area] in Urine sediment by Microscopy low power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
38995-7	Mixed cellular casts [#/area] in Urine sediment by Microscopy low power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
30089-7	Transitional cells [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33228-8	WBC casts [#/area] in Urine by Computer assisted method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
46138-4	Urate crystals [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
5807-3	RBC casts [#/area] in Urine sediment by Microscopy low power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
53289-5	Mixed cellular casts [#/area] in Urine by Computer assisted method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
5819-8	Waxy casts [#/area] in Urine sediment by Microscopy low power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33229-6	RBC casts [#/area] in Urine by Computer assisted method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
53335-6	Casts type not specified [#/area] in Urine by Computer assisted method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33230-4	Waxy casts [#/area] in Urine by Computer assisted method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
41861-6	Yeast.hyphae [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33222-1	Oval fat bodies (globules) [#/area] in Urine sediment by Automated count	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
46137-6	Triple phosphate crystals [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33231-2	Fatty casts [#/area] in Urine by Computer assisted method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
5788-5	Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
29604-6	Cytomegalovirus DNA [#/volume] (viral load) in Blood by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49796-6	t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2 fusion transcript [#/volume] in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
792-2	Erythrocytes [#/volume] in Cerebral spinal fluid by Manual count	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
38349-7	Herpes virus 6 DNA [#/volume] (viral load) in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49392-4	Herpes virus 6 DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49412-0	JC virus DNA [#/volume] (viral load) in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49413-8	JC virus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49403-9	Herpes virus 8 DNA [#/volume] (viral load) in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
45321-7	FMR1 gene allele 1 CGG repeats [Entitic number] in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
45322-5	FMR1 gene allele 2 CGG repeats [Entitic number] in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49637-2	HTT gene allele 1.CAG repeats [Entitic number] in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49638-0	HTT gene allele 2.CAG repeats [Entitic number] in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
35750-9	DMPK gene allele 2 CTG repeats [Entitic number] in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
35751-7	DMPK gene allele 1 CTG repeats [Entitic number] in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
32660-3	6-Thioguanine [Entitic substance] in Red Blood Cells	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
32654-6	6-Methylmercaptopurine [Entitic substance] in Red Blood Cells	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
9802-0	Size [Entitic volume] of Stone	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
1799-6	Amylase [Enzymatic activity/volume] in Urine	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
24475-6	F2 gene c.20210G>A [Genotype] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
28005-7	MTHFR gene c.677C>T [Genotype] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
28060-2	MTHFR gene c.1298A>C [Genotype] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
664-3	Microscopic observation [Identifier] in Specimen by Gram stain	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49610-9	Streptococcus pyogenes DNA [Identifier] in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
87969-2	Microscopic observation [Identifier] in Blood by Gram stain	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
53947-8	Escherichia coli Stx1 and Stx2 toxin stx1 and stx2 and H7 flagellar fliC genes [Identifier] in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
48646-4	Yersinia sp DNA [Identifier] in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49609-1	Vibrio sp DNA [Identifier] in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
11545-1	Microscopic observation [Identifier] in Specimen by Acid fast stain	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
57791-6	Organic acidemia conditions suspected [Identifier] in DBS	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
57793-2	Amino acidemia disorder suspected [Identifier] in DBS	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
11546-9	Microscopic observation [Identifier] in Specimen by Other stain	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
13348-8	Monoclonal band observed [Identifier] in Serum or Plasma	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
667-6	Microscopic observation [Identifier] in Specimen by KOH preparation	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
63368-5	Carbapenem resistance genes [Identifier] by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33270-0	Microscopic observation [Identifier] in Buffy Coat by Light microscopy	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
21709-1	MTHFR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
687-4	Mycoplasma sp and Ureaplasma sp [Identifier] in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
32700-7	Microscopic observation [Identifier] in Blood by Malaria smear	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49616-6	Legionella sp DNA [Identifier] in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
21654-9	CFTR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
51865-4	Plasmodium sp Ag [Identifier] in Blood	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
48509-4	Influenza virus A and B RNA [Identifier] in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
41107-4	FMR1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
35347-4	Microscopic observation [Identifier] in Specimen by Immunofluorescence	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
40444-2	CMV gene mutations detected [Identifier]	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
33271-8	Microscopic observation [Identifier] in Blood by Malaria thin smear	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
6770-2	Alpha 1 antitrypsin phenotype [Identifier] in Serum or Plasma by Immunofixation	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
66885-5	Bacteria identified based on 16S rRNA gene [Identifier] in Specimen by Sequencing	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
55135-8	BCR-ABL1 kinase domain mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
41048-0	TPMT gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
21619-2	APOE gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
21717-4	NF1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
21723-2	SERPINA1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
34438-2	Apolipoprotein E phenotype [Identifier] in Blood	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
40995-3	Mitochondria Genes mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
93194-9	NUDT15 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
21733-1	RET gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
34727-8	DMPK gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
24476-4	F2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
43097-5	COL3A1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
43995-0	Trisomy 21 risk [Likelihood] in Fetus	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
48803-1	Neural tube defect risk [Likelihood] in Fetus	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
49090-4	Fetal Trisomy 21 risk [Likelihood] Based on maternal age	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
43994-3	Trisomy 18 risk [Likelihood] in Fetus	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
53774-6	Epstein Barr virus DNA [Log #/volume] (viral load) in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
38350-5	Herpes virus 6 DNA [Log #/volume] (viral load) in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
43201-3	BK virus DNA [Log #/volume] (viral load) in Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0002-6581-7754	not in scope for OBA
